"Id","OwnerId","IsDeleted","Name","RecordTypeId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Account__c","LLC_BI__Amount__c","LLC_BI__Contact__c","LLC_BI__Initial_Deposit__c","LLC_BI__Interest_Rate__c","LLC_BI__Maturity_Date__c","LLC_BI__Notes__c","LLC_BI__Open_Date__c","LLC_BI__Product_Line__c","LLC_BI__Product_Type__c","LLC_BI__Product__c","LLC_BI__Stage__c","LLC_BI__Status__c","LLC_BI__isConvert__c","LLC_BI__Mailing_Address__c","LLC_BI__Application__c","LLC_BI__Product_Reference__c","LLC_BI__lookupKey__c","Interest_Rate__c","LLC_BI__Account_Number__c","LLC_BI__Funding_Amount__c","LLC_BI__Funding_Method__c","LLC_BI__Ownership_Structure_Type__c","LLC_BI__Product_Package__c","Full_Product_Name__c","Branch__c","LLC_BI__APY__c","LLC_BI__Additional_Terms__c","LLC_BI__Alternate_Signature_Description__c","LLC_BI__Annual_Rent_Amount__c","LLC_BI__Billing_Frequency_Other__c","LLC_BI__Billing_Frequency__c","LLC_BI__Billing_Type__c","LLC_BI__CD_Term__c","LLC_BI__CESA_Responsible_Individual_Indicator__c","LLC_BI__Certificate_Number__c","LLC_BI__Change_Designated_Beneficiary_Indicator__c","LLC_BI__Compounding_Frequency__c","LLC_BI__Death_Before_Required_Beginning__c","LLC_BI__Description_of_Keys__c","LLC_BI__Distribution_Payment_Type__c","LLC_BI__Distribution_Start_Date__c","LLC_BI__Durable_Agency__c","LLC_BI__Five_Year_Period_Ends_Year__c","LLC_BI__Frequency_of_Distributions__c","LLC_BI__IRA_Is_Self_Directed__c","LLC_BI__IRA_Plan_Type__c","LLC_BI__IRA_Recharacterization_Initial_Cont_Amt__c","LLC_BI__IRA_Recharacterization_Initial_Cont_Date__c","LLC_BI__IRA_Recharacterization_Type__c","LLC_BI__Index_Name__c","LLC_BI__Initial_Interest_Rate_Type__c","LLC_BI__Initial_Interest_Rate__c","LLC_BI__Initial_Rate_Indicator__c","LLC_BI__Initial_Rate_Margin__c","LLC_BI__Initial_Rate_Period_Number__c","LLC_BI__Initial_Rate_Period_Type__c","LLC_BI__Interest_Rate_Margin_Indicator__c","LLC_BI__Interest_Rate_Margin_Percent__c","LLC_BI__Interest_Rate_Type__c","LLC_BI__Interest_Withdrawal_Required__c","LLC_BI__Lease_Type_Other__c","LLC_BI__Life_Expectancy_Factor__c","LLC_BI__Maximum_Balance_Tiered_Account__c","LLC_BI__Maximum_Rate_Indicator__c","LLC_BI__Maximum_Rate__c","LLC_BI__Minimum_Balance_Tiered_Account__c","LLC_BI__Minimum_Rate_Indicator__c","LLC_BI__Minimum_Rate__c","LLC_BI__Negotiated_Compounding_Frequency__c","LLC_BI__Notice_Account_Maturity_Type__c","LLC_BI__Number_of_Agents_Required__c","LLC_BI__Number_of_Lessees_Required__c","LLC_BI__Other_Distribution_Payment__c","LLC_BI__Other_Frequency_of_Distributions__c","LLC_BI__Overdraft_Consent_Indicator__c","LLC_BI__Owner_Deceased_Indicator__c","LLC_BI__Payment_Account_Number__c","LLC_BI__Periodic_Change_Limit_Indicator__c","LLC_BI__Periods_Between_Rate_Changes__c","LLC_BI__Permanent_Rate_Effective_Date__c","LLC_BI__Prevent_Automatic_Renewal__c","LLC_BI__Rate_Change_Percent__c","LLC_BI__Rate_Change_Period_Type__c","LLC_BI__Rate_Change_Period__c","LLC_BI__Rate_Disclosure_As_Of_Date__c","LLC_BI__Rate_Type__c","LLC_BI__Renewal_Interest_Rate_Type__c","LLC_BI__Renewal_Interest_Rate__c","LLC_BI__Security_Deposit_Amount__c","LLC_BI__Single_Life_Expectancy_Begins__c","LLC_BI__Size_of_Box__c","LLC_BI__Step_Interest_Rate__c","LLC_BI__Step_Rate_Period_Type__c","LLC_BI__Step_Rate_Period__c","LLC_BI__Tax_Year_of_First_Roth_Contribution__c","LLC_BI__Tiered_Interest_Rate__c","LLC_BI__Tiered_Margin_Percent__c","LLC_BI__Vault_Key_Description__c","LLC_BI__Is_Superseded_By__c","LLC_BI__Related_Deposit__c","Doc_Prep__c","Loan_Providing_Overdraft__c","Overdraft_Limit__c","Overdraft_Used__c","Overdraft_Availability__c","Number_of_times_OD_in_Last_12_months__c","Reg_O__c","Employee__c","LLC_BI__Mailing_City__c","Withdrawls_previous_12_months__c","Is_Demo_Deposit__c","Date_Account_Closed__c","Amount_Charged_Off__c","LLC_BI__Mailing_State__c","LLC_BI__Mailing_Zip_Code__c","LLC_BI__Number_of_Required_Signers__c","LLC_BI__Originating_Branch__c","Default_App__c","LLC_BI__Interest_Payment_Method_Type__c","LLC_BI__Term_Type__c","CD_Term_new__c","Override_Interest_Rate__c","Interest_Rate_Override__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__Overdraft_Services__c","LLC_BI__Deposit_Account_Type__c","LLC_BI__E_Disclosures_And_Statement_Consent__c","LLC_BI__Electronic_Notice_Delivery_Consent__c","LLC_BI__Enable_Portal_Documents__c","LLC_BI__Exclude_Transaction_Account_Disclosure__c","LLC_BI__Routing_Number__c","WKDDP__Denial_Notice_Type__c","WKDDP__Joint_Owners_Have_ROS__c","WKDDP__MultiParty_Disclosure__c","WKDDP__Multiple_Party_Terms_Change__c","WKDDP__Temporary_Account_Agreement_Indictor__c","LLC_BI__Appointee_Capacity_Description__c","Initial_APY1__c","LLC_BI__Routing_Transit_Number__c","LLC_BI__Financial_Institution_Authorized_Signer__c","LLC_BI__Inherited_IRA__c","LLC_BI__Is_Booked__c","LLC_BI__Plan_Number__c","LLC_BI__TFA_Activity_Type__c","AutorabitExtId__c"
"a0D5w00000lnfeMEAQ","0055w00000BkiP4AAJ","","Premier Business Checking","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","","","134718.0","","","","2019-05-10","Business","Business Checking","Premier Business Checking","Active","Open","","","","","9964JPD602395122","","000023245678","","a3u5w000008XNsRAAW","","","","","","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeNEAQ","0055w00000BkiP4AAJ","","Business Money Market Savings","","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","","","","","","","56700.0","","","","2019-05-10","Business","Business Savings","Business Money Market Savings","Active","Open","","","","","9998JPD890570087","","0003782712","","a3u5w000008XNsSAAW","","","","","","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","deposit-wall.pc-product-details","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeOEAQ","0055w00000Cu9gCAAR","","Advantage Business Checking","","2020-05-14T11:38:20.000Z","0055w00000Cu9gCAAR","2020-05-14T11:38:20.000Z","0055w00000Cu9gCAAR","","","","","","135000.0","","135000.0","0.5","","","2019-10-24","Business","Business Checking","Advantage Business Checking","Active","Open","","","","","","","382482855","","a3u5w000008XNsJAAW","","a3Q5w000003AI6IEAW","","","","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","Variable","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","a4X5w000007VquxEAC","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfePEAQ","0055w00000Cu9gCAAR","","Advantage Business Checking","","2020-05-14T11:38:20.000Z","0055w00000Cu9gCAAR","2020-05-14T11:38:20.000Z","0055w00000Cu9gCAAR","","","","","","","","40000.0","","","","2019-10-24","Business","Business Checking","Advantage Business Checking","Active","Open","","","","","","","234324332","","a3u5w000008XNsKAAW","","a3Q5w000003AI6NEAW","","","","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeQEAQ","0055w00000Cu9gCAAR","","Platinum Checking Account","","2020-05-14T11:38:20.000Z","0055w00000Cu9gCAAR","2020-05-14T11:38:20.000Z","0055w00000Cu9gCAAR","","","","","","","","55000.0","","","","2019-10-24","Personal","Personal Checking","Platinum Checking Account","Active","Open","","","","","","","35564757","","a3u5w000008XNsLAAW","","a3Q5w000003AI6QEAW","","","","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeREAQ","0055w00000Cu9gCAAR","","5 Year Fixed","","2020-05-14T11:38:20.000Z","0055w00000Cu9gCAAR","2020-05-14T11:38:20.000Z","0055w00000Cu9gCAAR","","","","","","","","","","","","2019-10-24","Personal","Personal CD","5 Year Fixed","Active","Open","","","","","","","","","a3u5w000008XNsMAAW","","a3Q5w000003AI6REAW","","","","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeSEAQ","0055w00000Cu9fDAAR","","Gold Checking Account","","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","","","","","","","","","","","","2019-11-18","Personal","Personal Checking","Gold Checking Account","Active","Open","","","","","","","","","a3u5w000008XNsNAAW","","a3Q5w000003AI6LEAW","","","","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","a4X5w000007VquyEAC","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeTEAQ","0055w00000Cu9fDAAR","","2 Year Jumbo CD","","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","","","","","","750434.0","","","3.2","","","2019-12-19","Personal","Personal CD","2 Year Jumbo","Active","Open","","","","","","","4213566543","","a3u5w000008XNsOAAW","","a3Q5w000003AI6KEAW","","","3.3","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeUEAQ","0055w00000Cu9fDAAR","","3 Year Step Up CD","","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","","","","","","932990.0","","","3.7","","","2019-12-19","Personal","Personal CD","3 Year Step Up CD","Active","Open","","","","","","","548937109","","a3u5w000008XNsPAAW","","a3Q5w000003AI6MEAW","","","3.745","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
"a0D5w00000lnfeVEAQ","0055w00000Cu9fDAAR","","5 Year Fixed","","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","2020-05-14T11:38:20.000Z","0055w00000Cu9fDAAR","","","","","","509496.0","","","3.4","","","2019-12-19","Personal","Personal CD","5 Year Fixed","Active","Open","","","","","","","5837029054","","a3u5w000008XNsQAAW","","a3Q5w000003AI6JEAW","","","3.47","","","","","","","","false","","false","Daily","false","","","","false","","","false","","","","","","","","false","","","","false","","","false","","","","false","","","false","","","","","","","","false","false","","false","","","false","","","","","","","","","","","","","","","","","","","","false","","","","","","false","false","","","false","","","","","1 - One signature line","","llc-bi--deposit.llc-bi--deposit-details","","","","false","","","","","false","false","false","false","","","false","false","","false","","","","","false","false","","",""
